,2019,2020,2021,2022,2023,2024,longtitude,lattitude
".Accomack County, Virginia","33,421","33,397","33,422","33,157","33,288","33,411",37.7,75.80
".Albemarle County, Virginia","112,438","112,560","113,939","114,925","115,857","117,313",38.0,78.61
".Alleghany County, Virginia","15,222","15,194","15,007","14,764","14,698","14,632",37.85,80.05
".Amelia County, Virginia","13,260","13,267","13,311","13,419","13,596",78.61,37.32,77.97
".Amherst County, Virginia","31,311","31,313","31,391","31,512","31,559","31,650",37.55,79.10
".Appomattox County, Virginia","16,118","16,158","16,405","16,696","16,835","16,957",37.4,78.70
".Arlington County, Virginia","238,646","238,829","233,478","233,976","235,181","239,807",38.88,77.09
".Augusta County, Virginia","77,492","77,589","77,787","77,919","78,250","78,622",38.20,79.24
".Bath County, Virginia","4,207","4,188","4,094","4,077","4,070","4,071",38.117,79.65
".Bedford County, Virginia","79,483","79,581","80,281","80,798","81,628","82,182",37.25,79.47
".Bland County, Virginia","6,272","6,256","6,179","6,151","6,221","6,186",37.09,81.11
".Botetourt County, Virginia","33,592","33,641","34,002","34,092","34,154","34,129",37.57,79.78
".Brunswick County, Virginia","15,851","15,827","15,969","15,856","15,801","15,750",36.75,77.83
".Buchanan County, Virginia","20,346","20,250","19,886","19,329","18,978","18,632",37.24,81.99
".Buckingham County, Virginia","16,832","16,830","16,957","16,983","16,988","17,115",37.50,78.56
".Campbell County, Virginia","55,666","55,610","55,323","55,035","55,248","55,342",37.22,79.10
".Caroline County, Virginia","30,887","30,929","31,418","31,959","32,705","33,477",38.04,77.28
".Carroll County, Virginia","29,153","29,145","29,100","29,096","29,202","29,242",36.68,80.72
".Charles City County, Virginia","6,771","6,746","6,611","6,580","6,635","6,564",37.40,77.14
".Charlotte County, Virginia","11,530","11,539","11,500","11,427","11,387","11,258",37.04,78.61
".Chesterfield County, Virginia","364,087","365,350","371,022","378,488","384,693","389,793",37.36,77.60
".Clarke County, Virginia","14,788","14,817","14,947","15,312","15,405","15,598",39.15,77.97
".Craig County, Virginia","4,896","4,880","4,891","4,859","4,827","4,829",37.44,80.23
".Culpeper County, Virginia","52,546","52,766","53,779","54,250","55,065","56,125",38.49,77.97
".Cumberland County, Virginia","9,689","9,679","9,719","9,755","9,875","10,062",37.51,78.24
".Dickenson County, Virginia","14,130","14,077","13,867","13,714","13,594","13,411",37.09,82.34
".Dinwiddie County, Virginia","27,936","27,889","28,000","28,112","28,377","28,576",37.07,77.60
".Essex County, Virginia","10,599","10,597","10,572","10,644","10,618","10,683",37.96,76.96
".Fairfax County, Virginia","1,150,292","1,148,680","1,142,381","1,140,521","1,146,677","1,160,925",38.74,77.24
".Fauquier County, Virginia","72,964","73,010","74,068","74,686","75,256","75,865",38.72,77.79
".Floyd County, Virginia","15,476","15,473","15,514","15,625","15,693","15,658",36.94,80.32
".Fluvanna County, Virginia","27,250","27,294","27,804","28,134","28,480","28,746",37.85,78.24
".Franklin County, Virginia","54,457","54,475","55,020","55,047","55,471","55,637",36.94,79.82
".Frederick County, Virginia","91,451","91,907","94,009","94,839","96,178","98,109",39.17,78.24
".Giles County, Virginia","16,790","16,786","16,574","16,430","16,461","16,533",37.31,80.67
".Gloucester County, Virginia","38,714","38,724","39,184","39,546","40,024","40,154",37.4,76.5
".Goochland County, Virginia","24,746","24,873","25,556","26,184","27,216","28,223",37.74,77.97
".Grayson County, Virginia","15,332","15,279","15,347","15,310","15,235","15,265",36.64,81.20
".Greene County, Virginia","20,554","20,608","21,007","21,026","21,391","21,744",38.31,78.45
".Greensville County, Virginia","11,400","11,396","11,424","11,232","11,174","11,150",36.60,77.06
".Halifax County, Virginia","34,023","33,928","33,784","33,599","33,434","33,448",36.69,78.92
".Hanover County, Virginia","109,976","110,207","111,799","112,889","114,193","115,309",37.77,77.5
".Henrico County, Virginia","334,961","334,939","334,501","334,855","335,729","338,696",37.05,77.3
".Henry County, Virginia","50,945","50,848","50,268","49,765","49,636","49,385",36.65,79.9
".Highland County, Virginia","2,232","2,240","2,240","2,303","2,351","2,348",38.39,79.56
".Isle of Wight County, Virginia","38,611","38,710","39,401","40,149","40,667","40,942",36.92,76.6
".James City County, Virginia","78,252","78,487","80,009","81,426","82,346","82,797",37.3,76.8
".King and Queen County, Virginia","6,607","6,589","6,672","6,721","6,746","6,747",37.77,76.97
".King George County, Virginia","26,724","26,827","27,548","27,867","28,422","28,816",38.26,77.20
".King William County, Virginia","17,813","17,922","18,249","18,528","19,035","19,232",37.72,77.09
".Lancaster County, Virginia","10,925","10,905","10,943","10,838","10,927","11,062",40.04,76.17
".Lee County, Virginia","22,172","22,107","22,009","21,842","21,761","21,780",26.66,81.95
".Loudoun County, Virginia","420,955","422,723","428,827","432,897","437,164","443,380",39.07,77.65
".Louisa County, Virginia","37,583","37,784","39,011","39,986","41,008","42,109",37.99,77.97
".Lunenburg County, Virginia","11,939","11,950","12,007","12,020","12,042","12,060",36.97,78.26
".Madison County, Virginia","13,840","13,861","13,959","14,013","14,135","14,252",38.35,78.23
".Mathews County, Virginia","8,534","8,519","8,545","8,467","8,568","8,602",37.47,76.40
".Mecklenburg County, Virginia","30,315","30,283","30,338","30,511","30,622","30,824",36.68,78.47
".Middlesex County, Virginia","10,621","10,611","10,778","10,958","10,938","10,949",37.6,76.5
".Montgomery County, Virginia","99,725","99,584","98,808","98,980","99,134","98,998",37.11,80.47
".Nelson County, Virginia","14,770","14,739","14,839","14,692","14,625","14,766",37.77,78.93
".New Kent County, Virginia","22,946","23,126","23,970","25,000","26,211","27,218",37.53,76.96
".Northampton County, Virginia","12,280","12,215","12,070","11,974","12,026","12,004",37.44,75.64
".Northumberland County, Virginia","11,835","11,837","12,053","12,263","12,388","12,397",37.88,76.46
".Nottoway County, Virginia","15,646","15,645","15,576","15,561","15,570","15,632",37.13,77.98
".Orange County, Virginia","36,183","36,396","37,224","38,019","38,487","38,986",38.25,78.11
".Page County, Virginia","23,706","23,689","23,829","23,747","23,682","23,686",38.61,78.45
".Patrick County, Virginia","17,606","17,591","17,654","17,569","17,440","17,308",36.67,80.32
".Pittsylvania County, Virginia","60,509","60,380","60,062","59,845","59,581","59,410",36.49,79.24
".Powhatan County, Virginia","30,342","30,451","31,238","31,582","32,113","32,392",37.60,77.88
".Prince Edward County, Virginia","21,836","21,893","21,955","21,856","21,998","22,276",37.23,78.56
".Prince George County, Virginia","43,006","43,086","42,942","43,067","43,048","43,589",37.22,77.28
".Pulaski County, Virginia","33,790","33,800","33,809","33,639","33,607","33,579",37.08,80.67
".Rappahannock County, Virginia","7,351","7,323","7,435","7,445","7,455","7,479",38.68,78.01
".Richmond County, Virginia","8,917","8,918","9,079","9,099","9,162","9,215",37.95,76.69
".Roanoke County, Virginia","96,956","96,952","96,711","96,856","97,263","97,334",37.25,80.02
".Rockbridge County, Virginia","22,658","22,657","22,651","22,585","22,394","22,368",37.9,79.18
".Rockingham County, Virginia","83,765","83,779","84,528","85,390","86,630","87,674",38.5,78.9
".Russell County, Virginia","25,781","25,756","25,574","25,440","25,502","25,420",36.2,82.14
".Scott County, Virginia","21,566","21,586","21,479","21,497","21,444","21,388",36.75,82.73
".Shenandoah County, Virginia","44,179","44,256","44,837","44,905","45,185","45,441",38.99,78.421
".Smyth County, Virginia","29,793","29,780","29,605","29,393","29,187","29,137",36.18,81.588
".Southampton County, Virginia","17,997","17,951","18,028","17,897","18,000","17,941",36.68,77.07
".Spotsylvania County, Virginia","140,095","140,611","144,027","146,744","149,614","152,021",38.2,77.5
".Stafford County, Virginia","156,937","157,767","161,588","163,233","165,821","168,919",38.45,77.42
".Surry County, Virginia","6,558","6,551","6,535","6,506","6,575","6,579",37.1,76.9
".Sussex County, Virginia","10,838","10,798","10,828","10,652","10,794","10,753",36.94,77.25
".Tazewell County, Virginia","40,440","40,411","39,960","39,650","39,222","38,875",37.11,81.51
".Warren County, Virginia","40,724","40,797","40,977","41,436","41,982","42,461",38.887,78.25
".Washington County, Virginia","53,940","53,903","53,753","53,846","54,028","54,098",36.73,82.06
".Westmoreland County, Virginia","18,471","18,505","18,768","18,704","18,918","19,235",38.14,76.84
".Wise County, Virginia","36,118","36,066","35,688","35,324","35,191","34,973",36.94,82.65
".Wythe County, Virginia","28,288","28,322","28,205","28,143","28,171","28,100",36.88,81.07
".York County, Virginia","70,054","70,238","71,123","71,209","71,046","71,410",37.25,76.11
".Alexandria city, Virginia","159,463","159,144","155,129","155,235","156,271","159,102",38.8,77.0
".Bristol city, Virginia","17,222","17,303","17,074","16,884","16,668","16,316",36.62,82.17
".Buena Vista city, Virginia","6,641","6,621","6,624","6,567","6,574","6,581",37.73,79.36
".Charlottesville city, Virginia","46,513","46,434","45,713","45,223","45,047","44,767",38.03,78.48
".Chesapeake city, Virginia","249,302","249,726","251,732","252,493","253,967","254,997",36.74,76.32
".Colonial Heights city, Virginia","18,146","18,166","18,207","18,265","18,446","18,674",37.26,77.39
".Covington city, Virginia","5,746","5,745","5,715","5,668","5,611","5,663",37.79,79.99
".Danville city, Virginia","42,586","42,578","42,292","42,099","42,108","41,993",36.59,79.39
".Emporia city, Virginia","5,751","5,694","5,628","5,524","5,479","5,402",36.69,77.54
".Fairfax city, Virginia","24,147","24,179","24,361","24,825","25,426","26,340",38.84,77.3053
".Falls Church city, Virginia","14,657","14,677","14,515","14,518","14,805","15,034",38.88,77.17
".Franklin city, Virginia","8,177","8,148","8,156","8,259","8,316","8,373",36.667,76.92
".Fredericksburg city, Virginia","27,976","27,995","28,445","28,709","29,226","29,992",38.30,77.45
".Galax city, Virginia","6,727","6,717","6,657","6,724","6,799","6,739",36.66,80.92
".Hampton city, Virginia","137,154","137,282","137,780","137,970","137,157","137,596",37.02,76.34
".Harrisonburg city, Virginia","51,811","51,705","51,504","51,207","51,378","51,164",38.44,78.86
".Hopewell city, Virginia","23,032","23,012","23,081","22,848","22,883","22,970",37.30,37.30
".Lexington city, Virginia","7,311","7,315","7,443","7,508","7,556","7,802",37.78,79.44
".Lynchburg city, Virginia","79,017","78,993","79,137","79,279","79,775","80,301",37.41,79.14
".Manassas city, Virginia","42,773","42,695","42,770","42,710","43,087","43,616",38.75,77.47
".Manassas Park city, Virginia","17,218","17,164","17,094","16,675","16,448","16,611",38.78,77.46
".Martinsville city, Virginia","13,482","13,476","13,539","13,686","13,753","13,834",36.69,79.87
".Newport News city, Virginia","186,239","186,052","184,717","184,004","183,249","183,056",37.08,76.47
".Norfolk city, Virginia","238,029","237,813","234,920","232,766","231,378","231,105",36.85,76.28
".Norton city, Virginia","3,696","3,681","3,631","3,594","3,501","3,478",36.93,82.62
".Petersburg city, Virginia","33,465","33,398","33,422","33,481","33,328","34,058",37.22,77.40
".Poquoson city, Virginia","12,454","12,473","12,629","12,624","12,613","12,854",37.12,76.34
".Portsmouth city, Virginia","97,945","97,997","97,700","96,989","96,782","96,482",36.83,76.29
".Radford city, Virginia","16,063","16,115","16,525","16,723","16,994","17,273",37.13,80.57
".Richmond city, Virginia","226,525","226,923","227,164","228,670","230,383","233,655",37.54,77.43
".Roanoke city, Virginia","100,016","99,898","98,717","97,743","97,503","97,912",37.27,79.94
".Salem city, Virginia","25,341","25,396","25,417","25,698","25,669","25,908",37.29,80.05
".Staunton city, Virginia","25,751","25,809","25,690","25,942","25,936","26,361",38.14,79.07
".Suffolk city, Virginia","94,406","94,794","96,400","98,630","101,050","103,105",36.72,76.58
".Virginia Beach city, Virginia","459,444","459,673","458,599","454,886","453,779","454,808",36.85,75.97
".Waynesboro city, Virginia","22,193","22,277","22,606","22,742","23,083","23,498",38.068,78.88
".Williamsburg city, Virginia","15,416","15,473","15,615","15,757","16,116","16,030",37.27,76.70
".Winchester city, Virginia","28,115","28,003","28,088","27,919","27,754","27,800",39.18,78.16
